cause_key,cause_value,effect_key,effect_value,epsilon,z
activity,T03 Adjust confirmation of receipt - Resource09,activity,Case Delayed,-0.024082502568125632,-0.7191109387797479
activity,T07-5 Draft intern advice aspect 5 - Resource25,activity,Case Delayed,0.024611575003849757,0.2237220971362905
activity,Confirmation of receipt - admin1,activity,Case Delayed,0.012875524054385842,-0.0035157333779611884
activity,T08 Draft and send request for advice - Resource09,activity,Case Delayed,0.02697338740417848,0.2694523967271313
activity,T04 Determine confirmation of receipt - Resource01,activity,Case Delayed,-0.008964090597026644,-0.4263825626056351
activity,T02 Check confirmation of receipt - admin1,activity,Case Delayed,0.012875524054385842,-0.0035157333779611884
activity,Confirmation of receipt - Resource01,activity,Case Delayed,-0.007264869207787786,-0.39348159926483706
activity,T02 Check confirmation of receipt - Resource24,activity,Case Delayed,0.05604944842248299,0.8324340209677219
activity,T02 Check confirmation of receipt - Resource08,activity,Case Delayed,0.01687338029347438,0.07389226207044321
activity,T06 Determine necessity of stop advice - Resource29,activity,Case Delayed,-0.01215846870405979,-0.48823331240300133
activity,T20 Print report Y to stop indication - Resource11,activity,Case Delayed,0.013719282157669826,0.012821428218787885
activity,T10 Determine necessity to stop indication - Resource21,activity,Case Delayed,-0.005759617049681432,-0.36433634109768437
activity,T10 Determine necessity to stop indication - Resource11,activity,Case Delayed,-0.029434182262578358,-0.822732172924966
activity,T16 Report reasons to hold request - Resource11,activity,Case Delayed,0.013719282157669826,0.012821428218787885
activity,T06 Determine necessity of stop advice - Resource09,activity,Case Delayed,0.0022027992493963877,-0.21016504333790348
activity,T02 Check confirmation of receipt - Resource19,activity,Case Delayed,-0.023165350830908996,-0.7013527020513187
activity,T04 Determine confirmation of receipt - admin3,activity,Case Delayed,0.008617324168613941,-0.0859646003865899
activity,T05 Print and send confirmation of receipt - Resource07,activity,Case Delayed,-0.026715376952440414,-0.770089642407101
activity,T02 Check confirmation of receipt - Resource12,activity,Case Delayed,0.004404825204555117,-0.16752858896828443
activity,T02 Check confirmation of receipt - Resource07,activity,Case Delayed,0.0008962095398011754,-0.23546372449216552
activity,T06 Determine necessity of stop advice - Resource07,activity,Case Delayed,0.01721911987431949,0.08058660181150731
activity,T04 Determine confirmation of receipt - Resource07,activity,Case Delayed,-0.009533261572508028,-0.4374030650060595
activity,T02 Check confirmation of receipt - Resource15,activity,Case Delayed,0.015904635348833723,0.055135058264008864
activity,T06 Determine necessity of stop advice - Resource37,activity,Case Delayed,0.02312368588009107,0.1949130285676065
activity,T07-3 Draft intern advice hold for aspect 3 - Resource35,activity,Case Delayed,0.009780531012947574,-0.06344215217262936
activity,T04 Determine confirmation of receipt - Resource29,activity,Case Delayed,0.008738962446559868,-0.08360939432051666
activity,T02 Check confirmation of receipt - Resource21,activity,Case Delayed,-0.022974369472480088,-0.6976548491922161
activity,T05 Print and send confirmation of receipt - Resource15,activity,Case Delayed,0.00851755379246514,-0.08789639191708597
activity,Confirmation of receipt - Resource27,activity,Case Delayed,-0.008842341182958477,-0.4240252046801828
activity,Confirmation of receipt - Resource29,activity,Case Delayed,0.008738962446559868,-0.08360939432051666
activity,Confirmation of receipt - Resource33,activity,Case Delayed,0.014476539785836356,0.027483735097473545
activity,Confirmation of receipt - Resource26,activity,Case Delayed,0.0016178350101702667,-0.22149134084824576
